round,date,home,away
12,2026-10-20,Burton Albion,Bradford City
12,2026-10-20,Cambridge United,Wycombe Wanderers
12,2026-10-20,Doncaster Rovers,Stockport County
12,2026-10-20,Huddersfield Town,Peterborough United
12,2026-10-20,Luton Town,Barnsley
12,2026-10-20,Notts County,Sheffield Wednesday
12,2026-10-20,Oxford United,Wigan Athletic
12,2026-10-20,Stevenage,Plymouth Argyle
12,2026-10-21,Reading,Leyton Orient
13,2026-10-24,Huddersfield Town,Wigan Athletic
13,2026-10-24,Luton Town,Leicester City
13,2026-10-24,AFC Wimbledon,Wycombe Wanderers
13,2026-10-24,Blackpool,Mansfield Town
13,2026-10-24,Bromley,Peterborough United
13,2026-10-24,Burton Albion,Leyton Orient
13,2026-10-24,Cambridge United,Plymouth Argyle
13,2026-10-24,Doncaster Rovers,Sheffield Wednesday
13,2026-10-24,Notts County,Stockport County
13,2026-10-24,Oxford United,Bradford City
13,2026-10-24,Reading,Barnsley
13,2026-10-24,Stevenage,MK Dons
14,2026-10-31,Bradford City,Huddersfield Town
14,2026-10-31,Leyton Orient,Cambridge United
14,2026-10-31,Plymouth Argyle,Reading
14,2026-10-31,Barnsley,Oxford United
14,2026-10-31,Leicester City,Stevenage
14,2026-10-31,Mansfield Town,Notts County
14,2026-10-31,MK Dons,Doncaster Rovers
14,2026-10-31,Peterborough United,Luton Town
14,2026-10-31,Stockport County,AFC Wimbledon
14,2026-10-31,Wigan Athletic,Bromley
14,2026-10-31,Wycombe Wanderers,Burton Albion
14,2026-11-01,Sheffield Wednesday,Blackpool
15,2026-11-14,AFC Wimbledon,Blackpool
15,2026-11-14,Bromley,Notts County
15,2026-11-14,Doncaster Rovers,Leyton Orient
15,2026-11-14,Leicester City,Bradford City
15,2026-11-14,Luton Town,Cambridge United
15,2026-11-14,MK Dons,Burton Albion
15,2026-11-14,Peterborough United,Oxford United
15,2026-11-14,Sheffield Wednesday,Plymouth Argyle
15,2026-11-14,Stevenage,Mansfield Town
15,2026-11-14,Stockport County,Reading
15,2026-11-14,Wigan Athletic,Barnsley
15,2026-11-14,Wycombe Wanderers,Huddersfield Town
16,2026-11-20,Barnsley,Sheffield Wednesday
16,2026-11-21,Blackpool,Wigan Athletic
16,2026-11-21,Reading,Bromley
16,2026-11-21,Bradford City,Doncaster Rovers
16,2026-11-21,Burton Albion,Luton Town
16,2026-11-21,Cambridge United,Stockport County
16,2026-11-21,Huddersfield Town,Leicester City
16,2026-11-21,Leyton Orient,AFC Wimbledon
16,2026-11-21,Mansfield Town,MK Dons
16,2026-11-21,Notts County,Stevenage
16,2026-11-21,Oxford United,Wycombe Wanderers
16,2026-11-21,Plymouth Argyle,Peterborough United
17,2026-11-26,Doncaster Rovers,Huddersfield Town
